date,row_count
2014-11-18,366701
2014-11-19,358823
2014-11-20,353429
2014-11-21,333104
2014-11-22,361355
2014-11-23,382702
2014-11-24,378342
2014-11-25,370239
2014-11-26,360896
2014-11-27,371384
2014-11-28,340638
2014-11-29,364697
2014-11-30,401620
2014-12-01,394611
2014-12-02,405216
2014-12-03,411606
2014-12-04,399952
2014-12-05,361878
2014-12-06,389610
2014-12-07,399751
2014-12-08,386667
2014-12-09,398025
2014-12-10,421910
2014-12-11,488508
2014-12-12,691712
2014-12-13,407160
2014-12-14,402541
2014-12-15,398356
2014-12-16,395085
2014-12-17,384791
2014-12-18,375597
