feature_name,mutual_info_score
active_days,0.05351542389761188
active_day_ratio,0.04993651987711223
last_7d_actions,0.0475398189940881
recency_days,0.04600309523386659
active_span_days,0.0454663683573997
unique_categories,0.041879539394966914
active_hours,0.041814612492392156
active_hour_ratio,0.04060289123141536
unique_items,0.04034505680986733
total_actions,0.03986725641561706
last_3d_actions,0.03977300585354593
behavior_1_count,0.03731075092553193
last_3d_ratio,0.03667461813811168
last_7d_ratio,0.03038259820672362
geohash_missing_actions,0.028507188931880645
weekend_actions,0.026256032376928973
weekend_action_ratio,0.02332533276489812
behavior_4_count,0.02067160158871606
behavior_4_ratio,0.019265258761256954
behavior_3_count,0.01897450061851269
avg_actions_per_active_day,0.017721831875948002
avg_actions_per_category,0.0172733891311605
category_item_ratio,0.014273613377433714
geohash_missing_ratio,0.014036892737114837
behavior_2_ratio,0.01375665759438105
avg_actions_per_item,0.013190205291683021
behavior_2_count,0.011316101128643341
behavior_3_ratio,0.011281599262879638
behavior_1_ratio,0.006706324975362499
