feature_name,importance
active_day_ratio,0.18262744
active_days,0.16764493
last_3d_actions,0.10078471
last_7d_actions,0.08037777
recency_days,0.043439332
last_3d_ratio,0.039780237
behavior_1_count,0.03644907
active_hours,0.03557331
unique_categories,0.032020934
active_hour_ratio,0.031042567
active_span_days,0.03025194
weekend_actions,0.029462134
last_7d_ratio,0.02722197
weekend_action_ratio,0.024864094
behavior_4_ratio,0.024711015
behavior_4_count,0.024193536
unique_items,0.023767801
behavior_3_count,0.02293783
geohash_missing_actions,0.022541711
total_actions,0.020307733
